source,model,status,calculator_model,reason
App catalog,Vueroid H1,Excluded: unreleased,,H1 excluded at the site owner’s instruction.
App catalog,Vueroid S1 4K Infinite,Included,Vueroid S1 4K Infinite,"Available setups: front, front-rear, front-interior, front-rear-interior. Coverage does not imply every menu setting or setup."
App catalog,Vueroid S1 QHD Infinite,Included,Vueroid S1 QHD Infinite,"Available setups: front, front-rear, front-rear-interior. Coverage does not imply every menu setting or setup."
App catalog,Vueroid D40-Q2,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vueroid D21 4K,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vueroid D21 LTE FHD,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vueroid D20-Q2 Plus,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vueroid D20-F2/F2E,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vueroid ZERO,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,Vueroid D10-F2W,Missing: catalog-only or variant,,No matching maintained recording-rate profile in this audit. Requires rate evidence and release/variant verification before calculator inclusion. Not an assertion that manufacturer data does not exist.
App catalog,VIOFO A329S,Included,Viofo A329S,"Available setups: front, front-rear, front-interior, front-rear-interior. Coverage does not imply every menu setting or setup."
App catalog,VIOFO A329T,Included,Viofo A329T,"Available setups: front, front-rear, front-telephoto, front-rear-telephoto. Coverage does not imply every menu setting or setup."
App catalog,VIOFO A229 Pro,Included,Viofo A229 Pro,"Available setups: front, front-rear, front-rear-interior. Coverage does not imply every menu setting or setup."
App catalog,VIOFO A229 Plus,Included,Viofo A229 Plus,"Available setups: front, front-rear, front-rear-interior. Coverage does not imply every menu setting or setup."
